Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
NV Ojha (INDIA),2010-2010,2,2,0,12,10,6,27,44.44,0,0,0,2,0
KOA Powell (WI),2014-2014,1,1,0,12,12,12,14,85.71,0,0,0,1,0
R Rampaul (WI),2007-2015,23,6,5,12,8,12,21,57.14,0,0,0,0,0
MA Starc (AUS),2012-2016,22,6,2,12,4,3,18,66.66,0,0,0,0,0
Fayyaz Ahmed (UAE),2015-2015,1,1,0,11,11,11,12,91.66,0,0,0,2,0
AJ Hall (SA),2006-2006,2,1,0,11,11,11,10,110,0,0,0,1,0
Inzamam-ul-Haq (PAK),2006-2006,1,1,1,11,11,0,15,73.33,0,0,0,0,1
Khurram Manzoor (PAK),2016-2016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0
KS Lokuarachchi (SL),2012-2012,2,2,0,11,11,5.5,13,84.61,0,0,1,1,0
WK McCallan (IRE),2008-2009,9,3,2,11,9,11,15,73.33,0,0,1,1,0
AK Mandal (Nepal),2015-2015,2,2,0,11,9,5.5,25,44,0,0,0,0,0
AA Mulla (Can),2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0
V Shetty (UAE),2014-2014,2,2,1,11,10,11,13,84.61,0,0,0,1,0
CA Soper (PNG),2015-2016,3,2,2,11,8,0,21,52.38,0,0,0,0,0
SW Tait (AUS),2007-2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1
RM West (IRE),2009-2009,5,4,1,11,8,3.66,11,100,0,0,0,1,0
Yasir Shah (PAK),2011-2011,2,1,1,11,11,0,7,157.14,0,0,0,1,0
CS Baugh (WI),2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0
FH Edwards (WI),2007-2012,20,4,2,10,7,5,9,111.11,0,0,1,1,0
MJ Henry (NZ),2014-2016,5,2,1,10,10,10,5,200,0,0,0,2,0
S Jyoti (Can),2008-2008,2,2,1,10,10,10,20,50,0,0,1,0,0
RWT Key (ENG),2009-2009,1,1,1,10,10,0,8,125,0,0,0,0,0
HG Kuhn (SA),2009-2011,5,4,2,10,5,5,16,62.5,0,0,0,0,0
M Ntini (SA),2005-2011,10,4,2,10,5,5,11,90.9,0,0,1,2,0
PP Ojha (INDIA),2009-2010,6,1,1,10,10,0,6,166.66,0,0,0,0,1
BA Parchment (WI),2007-2007,1,1,0,10,10,10,6,166.66,0,0,0,1,1
N Pokana (PNG),2016-2016,3,2,1,10,8,10,17,58.82,0,0,0,0,0
P Raho (PNG),2016-2016,2,2,2,10,8,0,6,166.66,0,0,0,0,1
ACL Richards (WI),2007-2007,1,1,0,10,10,10,15,66.66,0,0,0,1,0
MP Stoinis (AUS),2015-2015,1,1,1,10,10,0,8,125,0,0,0,1,0
ZE Surkari (Can),2008-2008,4,3,0,10,6,3.33,33,30.3,0,0,1,0,0
SR Tendulkar (INDIA),2006-2006,1,1,0,10,10,10,12,83.33,0,0,0,2,0
RJ Trott (Ber),2008-2008,3,3,1,10,8,5,24,41.66,0,0,1,0,0
Abul Hasan (BDESH),2012-2012,4,1,0,9,9,9,8,112.5,0,0,0,1,0
Afsar Zazai (AFG),2013-2013,1,1,0,9,9,9,21,42.85,0,0,0,0,0
AC Agar (AUS),2016-2016,2,1,0,9,9,9,8,112.5,0,0,0,0,1
JJ Celestine (Ber),2008-2008,3,3,0,9,7,3,17,52.94,0,0,1,0,0
FRJ Coleman (SCOT),2013-2013,1,1,0,9,9,9,13,69.23,0,0,0,1,0
Elias Sunny (BDESH),2012-2012,7,4,2,9,5,4.5,9,100,0,0,0,1,0
KM Jarvis (ZIM),2011-2013,9,5,2,9,9,3,17,52.94,0,0,3,0,0
R McLaren (SA),2009-2014,12,4,3,9,6,9,13,69.23,0,0,0,0,0
Mohammad Asif (PAK),2006-2010,11,3,3,9,5,0,3,300,0,0,0,2,0
AR Nurse (WI),2011-2015,4,2,1,9,6,9,8,112.5,0,0,0,1,0
JS Patel (NZ),2005-2008,11,4,1,9,5,3,14,64.28,0,0,1,1,0
WKD Perkins (WI),2008-2008,1,1,0,9,9,9,11,81.81,0,0,0,1,0
JB Reva (PNG),2015-2016,3,2,0,9,7,4.5,12,75,0,0,0,0,1
KW Richardson (AUS),2014-2016,3,1,0,9,9,9,7,128.57,0,0,0,0,0
IH Romaine (Ber),2008-2008,2,2,0,9,8,4.5,20,45,0,0,0,0,0
Sikander Zulfiqar (Neth),2016-2016,2,1,1,9,9,0,12,75,0,0,0,0,0
TP Visee (Neth),2015-2015,2,2,0,9,5,4.5,14,64.28,0,0,0,1,0
CAK Walton (WI),2014-2016,3,3,0,9,9,3,12,75,0,0,2,0,1
AM Blignaut (ZIM),2010-2010,1,1,0,8,8,8,8,100,0,0,0,1,0
GH Bodi (SA),2007-2007,1,1,0,8,8,8,25,32,0,0,0,0,0
TL Chatara (ZIM),2010-2016,11,1,0,8,8,8,7,114.28,0,0,0,1,0
AS Dean (Can),2008-2013,2,2,0,8,7,4,10,80,0,0,0,0,0
B Fernando (SL),2015-2015,2,1,1,8,8,0,12,66.66,0,0,0,1,0
HMRKB Herath (SL),2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0
S Randiv (SL),2010-2011,7,2,0,8,6,4,6,133.33,0,0,0,1,0
BAW Mendis (SL),2008-2014,39,8,5,8,4,2.66,17,47.05,0,0,0,1,0
Mustafizur Rahman (BDESH),2015-2016,13,5,1,8,6,2,11,72.72,0,0,2,0,1
SS Pathirana (SL),2016-2016,2,2,0,8,6,4,7,114.28,0,0,0,1,0
Rubel Hossain (BDESH),2009-2014,11,4,3,8,8,8,13,61.53,0,0,1,1,0
Shahadat Hossain (BDESH),2006-2013,6,5,3,8,4,4,12,66.66,0,0,1,0,0
I Sharma (INDIA),2008-2013,14,3,2,8,5,8,9,88.88,0,0,1,1,0
BV Vitori (ZIM),2012-2016,11,2,2,8,7,0,7,114.28,0,0,0,0,0
Al-Amin Hossain (BDESH),2013-2016,25,5,3,7,5,3.5,12,58.33,0,0,1,1,0
RP Arnold (SL),2006-2006,1,1,0,7,7,7,7,100,0,0,0,0,0
NB Budayair (Nepal),2014-2014,4,3,1,7,5,3.5,19,36.84,0,0,1,0,0
MA Carberry (ENG),2014-2014,1,1,0,7,7,7,7,100,0,0,0,1,0
P Kumar (INDIA),2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
ND McKenzie (SA),2006-2009,2,1,1,7,7,0,8,87.5,0,0,0,0,0
HM Nicholls (NZ),2016-2016,1,1,0,7,7,7,11,63.63,0,0,0,1,0
Qadeer Ahmed (UAE),2015-2016,8,4,3,7,5,7,12,58.33,0,0,1,1,0
GA Rogers (SCOT),2008-2009,2,2,2,7,6,0,8,87.5,0,0,0,0,0
E Schiferli (Neth),2008-2010,7,3,1,7,5,3.5,16,43.75,0,0,1,0,0
JN Snape (ENG),2007-2007,1,1,0,7,7,7,11,63.63,0,0,0,0,0
Syed Rasel (BDESH),2007-2008,8,3,1,7,6,3.5,9,77.77,0,0,0,1,0
LV van Beek (Neth),2014-2016,8,4,1,7,4,2.33,15,46.66,0,0,0,0,0
A Zampa (AUS),2016-2016,8,2,2,7,5,0,6,116.66,0,0,0,0,0
D Bishoo (WI),2011-2015,5,2,1,6,6,6,6,100,0,0,1,1,0
DG Brownlie (NZ),2010-2014,5,5,0,6,5,1.2,18,33.33,0,0,3,1,0
RMS Eranga (SL),2012-2013,3,1,0,6,6,6,7,85.71,0,0,0,1,0
NM Hauritz (AUS),2009-2009,3,2,0,6,4,3,10,60,0,0,0,1,0
PJ Hughes (AUS),2014-2014,1,1,0,6,6,6,8,75,0,0,0,1,0
Javed Ahmadi (AFG),2012-2012,2,1,0,6,6,6,5,120,0,0,0,1,0
KO Meth (ZIM),2012-2012,2,1,1,6,6,0,6,100,0,0,0,0,0
AM Phangiso (SA),2012-2016,11,2,0,6,4,3,10,60,0,0,0,0,0
JA Rudolph (SA),2006-2006,1,1,1,6,6,0,7,85.71,0,0,0,0,0
R Strydom (IRE),2008-2008,4,2,1,6,5,6,7,85.71,0,0,0,0,0
SA Abbott (AUS),2014-2014,3,1,0,5,5,5,8,62.5,0,0,0,1,0
M Ansari (Oman),2015-2016,11,4,4,5,3,0,10,50,0,0,0,0,0
MS Atapattu (SL),2006-2006,2,1,0,5,5,5,8,62.5,0,0,0,0,0
IG Butler (NZ),2009-2013,19,6,5,5,2,5,10,50,0,0,0,0,0
N Dickwella (SL),2016-2016,3,2,0,5,4,2.5,5,100,0,0,0,1,0
Karan KC (Nepal),2015-2015,5,4,2,5,2,2.5,16,31.25,0,0,1,0,0
GD McGrath (AUS),2005-2005,2,1,0,5,5,5,12,41.66,0,0,0,0,0
CS Martin (NZ),2007-2008,6,1,1,5,5,0,6,83.33,0,0,0,0,0
Mohammad Salman (PAK),2011-2011,1,1,0,5,5,5,6,83.33,0,0,0,0,0
T Mupariwa (ZIM),2007-2008,4,2,2,5,3,0,3,166.66,0,0,0,0,0
N M'shangwe (ZIM),2013-2014,5,2,1,5,5,5,4,125,0,0,1,1,0
JL Pattinson (AUS),2011-2012,4,2,2,5,5,0,3,166.66,0,0,0,1,0
LE Plunkett (ENG),2006-2016,9,3,1,5,4,2.5,6,83.33,0,0,0,0,0
AG Prince (SA),2005-2005,1,1,0,5,5,5,6,83.33,0,0,0,0,0
K Rabada (SA),2014-2016,16,2,2,5,5,0,6,83.33,0,0,0,0,0
RJ Ranpura (Oman),2015-2016,3,2,2,5,5,0,8,62.5,0,0,0,0,0
RJ Sidebottom (ENG),2007-2010,18,1,1,5,5,0,4,125,0,0,0,1,0
R Telemachus (SA),2006-2007,3,1,1,5,5,0,3,166.66,0,0,0,0,0
DR Tuffey (NZ),2005-2010,3,2,1,5,5,5,5,100,0,0,1,1,0
GJ Batty (ENG),2009-2009,1,1,0,4,4,4,7,57.14,0,0,0,0,0
JAR Blain (SCOT),2007-2008,6,3,1,4,3,2,5,80,0,0,1,0,0
CJ Boyce (AUS),2014-2016,7,2,1,4,3,4,7,57.14,0,0,0,0,0
NM Carter (SCOT),2013-2013,7,2,0,4,3,2,12,33.33,0,0,0,0,0
PC Connell (IRE),2008-2010,9,3,2,4,3,4,7,57.14,0,0,1,0,0
PA Desai (Can),2012-2012,1,1,1,4,4,0,7,57.14,0,0,0,0,0
Farhan Ahmed (UAE),2016-2016,3,1,0,4,4,4,8,50,0,0,0,0,0
DAS Gunaratne (SL),2016-2016,1,1,0,4,4,4,12,33.33,0,0,0,0,0
A Karn (Nepal),2015-2015,2,1,0,4,4,4,7,57.14,0,0,0,0,0
CK Langeveldt (SA),2005-2010,9,3,2,4,2,4,8,50,0,0,0,0,0
RT Lyons (SCOT),2010-2010,2,2,0,4,4,2,17,23.52,0,0,1,0,0
GE Mathurin (WI),2011-2012,3,2,2,4,3,0,5,80,0,0,0,0,0
Mohammad Irfan (PAK),2012-2016,20,4,4,4,2,0,8,50,0,0,0,0,0
Mohammad Tauqir (UAE),2015-2015,3,2,1,4,4,4,6,66.66,0,0,0,1,0
JM Muirhead (AUS),2014-2014,5,2,1,4,3,4,8,50,0,0,0,0,0
Nazmus Sadat (BDESH),2006-2006,1,1,0,4,4,4,3,133.33,0,0,0,0,0
JO Ngoche (Kenya),2012-2013,7,3,1,4,2,2,17,23.52,0,0,0,0,0
AK Perera (SL),2013-2014,2,1,0,4,4,4,8,50,0,0,0,0,0
NJ Reardon (AUS),2014-2014,2,1,0,4,4,4,8,50,0,0,0,0,0
SP Terry (IRE),2016-2016,1,1,0,4,4,4,6,66.66,0,0,0,0,0
T Thushara (SL),2008-2010,6,2,0,4,3,2,8,50,0,0,0,0,0
L Tucker (IRE),2016-2016,1,1,0,4,4,4,9,44.44,0,0,0,0,0
AJ Tye (AUS),2016-2016,3,2,1,4,4,4,4,100,0,0,0,1,0
MC Bascombe (WI),2011-2011,1,1,0,3,3,3,7,42.85,0,0,0,0,0
CL Cairns (NZ),2005-2006,2,2,0,3,2,1.5,13,23.07,0,0,0,0,0
Fawad Ahmed (AUS),2013-2013,2,1,1,3,3,0,5,60,0,0,0,0,0
AM Guruge (UAE),2014-2015,5,3,2,3,1,3,8,37.5,0,0,0,0,0
Junaid Khan (PAK),2011-2014,9,2,2,3,3,0,4,75,0,0,0,0,0
MS Kasprowicz (AUS),2005-2005,2,1,1,3,3,0,5,60,0,0,0,0,0
GJP Kruger (SA),2006-2006,1,1,0,3,3,3,5,60,0,0,0,0,0
Nazmul Hossain (BDESH),2009-2012,4,2,2,3,3,0,15,20,0,0,0,0,0
CAK Rajitha (SL),2016-2016,3,2,2,3,3,0,12,25,0,0,0,0,0
KAJ Roach (WI),2008-2012,11,1,1,3,3,0,2,150,0,0,0,0,0
MM Sharma (INDIA),2014-2015,8,2,2,3,3,0,7,42.85,0,0,0,0,0
RP Singh (INDIA),2007-2009,10,2,2,3,2,0,3,100,0,0,0,0,0
PA van Meekeren (Neth),2013-2016,15,2,0,3,3,1.5,8,37.5,0,0,1,0,0
Zahid Hussain (Can),2012-2012,3,2,2,3,2,0,8,37.5,0,0,0,0,0
KMC Bandara (SL),2016-2016,1,1,1,2,2,0,4,50,0,0,0,0,0
OO Bascome (Ber),2008-2008,1,1,0,2,2,2,6,33.33,0,0,0,0,0
A Bhattarai (Nepal),2014-2014,1,1,0,2,2,2,3,66.66,0,0,0,0,0
JP Bray (IRE),2009-2009,2,2,0,2,2,1,17,11.76,0,0,1,0,0
GB Brent (ZIM),2006-2007,3,1,0,2,2,2,5,40,0,0,0,0,0
Dawlat Ahmadzai (AFG),2010-2010,2,1,1,2,2,0,3,66.66,0,0,0,0,0
JOA Gordon (Can),2013-2013,2,1,1,2,2,0,4,50,0,0,0,0,0
RJ Harris (AUS),2010-2010,3,1,1,2,2,0,1,200,0,0,0,0,0
BW Hilfenhaus (AUS),2007-2012,7,3,1,2,2,1,10,20,0,0,1,0,0
H Hiri (PNG),2016-2016,2,2,0,2,1,1,5,40,0,0,0,0,0
JO Holder (WI),2014-2015,4,1,0,2,2,2,4,50,0,0,0,0,0
AJ Ireland (ZIM),2006-2006,1,1,1,2,2,0,3,66.66,0,0,0,0,0
A Khan (ENG),2009-2009,1,1,0,2,2,2,4,50,0,0,0,0,0
RJ Kirtley (ENG),2007-2007,1,1,1,2,2,0,4,50,0,0,0,0,0
RAS Lakmal (SL),2011-2016,8,4,2,2,1,1,4,50,0,0,1,0,0
MJ Mason (NZ),2006-2008,3,1,0,2,2,2,2,100,0,0,0,0,0
Najeeb Amar (HK),2014-2014,1,1,0,2,2,2,9,22.22,0,0,0,0,0
L Nou (PNG),2015-2015,3,1,1,2,2,0,3,66.66,0,0,0,0,0
Shahid Wasif (HK),2016-2016,1,1,1,2,2,0,4,50,0,0,0,0,0
JNK Shannon (IRE),2013-2016,2,2,0,2,2,1,7,28.57,0,0,1,0,0
LL Tsotsobe (SA),2009-2014,23,3,2,2,1,2,10,20,0,0,0,0,0
I Udana (SL),2009-2016,7,3,1,2,1,1,9,22.22,0,0,1,0,0
Usman Khan (PAK),2013-2013,2,1,1,2,2,0,3,66.66,0,0,0,0,0
R Vinay Kumar (INDIA),2010-2013,9,1,1,2,2,0,4,50,0,0,0,0,0
UWMBCA Welegedara (SL),2010-2010,2,1,1,2,2,0,3,66.66,0,0,0,0,0
BTJ Wheal (SCOT),2016-2016,2,1,1,2,2,0,2,100,0,0,0,0,0
CA Young (IRE),2015-2016,11,2,2,2,2,0,5,40,0,0,0,0,0
Zaheer Maqsood (UAE),2015-2016,3,1,0,2,2,2,5,40,0,0,0,0,0
Aftab Alam (AFG),2012-2015,6,2,2,1,1,0,4,25,0,0,0,0,0
JM Anderson (ENG),2007-2009,19,4,3,1,1,1,2,50,0,0,1,0,0
TD Astle (NZ),2016-2016,2,1,0,1,1,1,5,20,0,0,0,0,0
DE Bernard (WI),2009-2009,1,1,1,1,1,0,1,100,0,0,0,0,0
Bilal Khan (Oman),2015-2016,12,3,2,1,1,1,3,33.33,0,0,1,0,0
DE Bollinger (AUS),2011-2014,9,2,2,1,1,0,1,100,0,0,0,0,0
DR Brown (SCOT),2007-2007,2,1,0,1,1,1,5,20,0,0,0,0,0
CD de Lange (SCOT),2015-2016,4,1,0,1,1,1,2,50,0,0,0,0,0
R Dhawan (INDIA),2016-2016,1,1,1,1,1,0,2,50,0,0,0,0,0
Dhiman Ghosh (BDESH),2008-2008,1,1,0,1,1,1,2,50,0,0,0,0,0
HH Dippenaar (SA),2006-2006,1,1,0,1,1,1,5,20,0,0,0,0,0
AC Evans (SCOT),2015-2016,11,4,1,1,1,0.33,8,12.5,0,0,3,0,0
Hashmatullah Shahidi (AFG),2013-2013,1,1,1,1,1,0,1,100,0,0,0,0,0
JS Jesani (Kenya),2007-2007,1,1,0,1,1,1,5,20,0,0,0,0,0
MBS Jonkman (Neth),2010-2010,3,1,0,1,1,1,8,12.5,0,0,0,0,0
GE Kidd (IRE),2010-2010,1,1,1,1,1,0,1,100,0,0,0,0,0
VJ Kingma (Neth),2016-2016,1,1,0,1,1,1,4,25,0,0,0,0,0
DS Kulkarni (INDIA),2016-2016,2,1,1,1,1,0,1,100,0,0,0,0,0
J Lewis (ENG),2005-2007,2,2,1,1,1,1,4,25,0,0,0,0,0
J Louw (SA),2008-2009,2,1,1,1,1,0,1,100,0,0,0,0,0
SI Mahmood (ENG),2006-2009,4,2,2,1,1,0,2,50,0,0,0,0,0
RD McCann (IRE),2012-2012,3,1,0,1,1,1,2,50,0,0,0,0,0
J Mulder (IRE),2016-2016,1,1,0,1,1,1,5,20,0,0,0,0,0
M Muralitharan (SL),2006-2010,12,2,0,1,1,0.5,5,20,0,0,1,0,0
M Nasim Baras (AFG),2015-2015,3,1,0,1,1,1,2,50,0,0,0,0,0
ML Nkala (ZIM),2006-2006,1,1,0,1,1,1,3,33.33,0,0,0,0,0
MS Panesar (ENG),2007-2007,1,1,0,1,1,1,2,50,0,0,0,0,0
SD Parry (ENG),2014-2015,5,1,0,1,1,1,1,100,0,0,0,0,0
MDK Perera (SL),2011-2011,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
DBL Powell (WI),2007-2007,5,1,1,1,1,0,1,100,0,0,0,0,0
EC Rainsford (ZIM),2010-2010,2,1,1,1,1,0,2,50,0,0,0,0,0
Sandeep Sharma (INDIA),2015-2015,2,1,1,1,1,0,1,100,0,0,0,0,0
Sayed Shirzad (AFG),2015-2016,3,1,0,1,1,1,2,50,0,0,0,0,0
PM Siddle (AUS),2009-2010,2,1,1,1,1,0,1,100,0,0,0,0,0
Suhrawadi Shuvo (BDESH),2010-2010,1,1,1,1,1,0,3,33.33,0,0,0,0,0
EP Thompson (NZ),2008-2008,1,1,1,1,1,0,1,100,0,0,0,0,0
RJW Topley (ENG),2015-2016,6,1,1,1,1,0,2,50,0,0,0,0,0
TE Tucker (Ber),2008-2008,1,1,0,1,1,1,5,20,0,0,0,0,0
I Wardlaw (SCOT),2013-2013,4,1,0,1,1,1,3,33.33,0,0,0,0,0
G Wijekoon (SL),2007-2007,3,2,1,1,1,1,5,20,0,0,1,0,0
Yamin Ahmadzai (AFG),2015-2015,2,1,1,1,1,0,1,100,0,0,0,0,0
Aizaz Cheema (PAK),2011-2012,5,1,1,0,0,0,3,0,0,0,0,0,0
MS Aulakh (Can),2012-2013,3,1,0,0,0,0,2,0,0,0,1,0,0
CT Bancroft (AUS),2016-2016,1,1,1,0,0,0,0,0,0,0,0,0,0
IDR Bradshaw (WI),2006-2006,1,1,1,0,0,0,0,0,0,0,0,0,0
DR Briggs (ENG),2012-2014,7,1,1,0,0,0,0,0,0,0,0,0,0
JJ Bumrah (INDIA),2016-2016,21,2,1,0,0,0,2,0,0,0,1,0,0
AF Buurman (Neth),2010-2010,4,2,0,0,0,0,4,0,0,0,2,0,0
PP Chawla (INDIA),2010-2012,7,1,0,0,0,0,1,0,0,0,1,0,0
DO Christian (WI),2011-2011,2,1,0,0,0,0,2,0,0,0,1,0,0
SS Cottrell (WI),2014-2015,6,1,0,0,0,0,1,0,0,0,1,0,0
A Dananjaya (SL),2012-2013,5,1,1,0,0,0,0,0,0,0,0,0,0
N Pradeep (SL),2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0
SM Harwood (AUS),2007-2009,3,1,1,0,0,0,0,0,0,0,0,0,0
T Henderson (SA),2006-2006,1,1,0,0,0,0,2,0,0,0,1,0,0
KC Hodsoll (Ber),2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
Iftikhar Ahmed (PAK),2016-2016,1,1,1,0,0,0,0,0,0,0,0,0,0
Imran Khan (1) (PAK),2015-2015,3,1,0,0,0,0,1,0,0,0,1,0,0
Izatullah Dawlatzai (AFG),2012-2012,4,1,1,0,0,0,3,0,0,0,0,0,0
S Keshvani (Can),2010-2010,2,1,1,0,0,0,1,0,0,0,0,0,0
RN Lewis (WI),2008-2008,1,1,0,0,0,0,4,0,0,0,1,0,0
J Little (IRE),2016-2016,1,1,0,0,0,0,3,0,0,0,1,0,0
AJ McKay (NZ),2010-2010,2,1,0,0,0,0,1,0,0,0,1,0,0
GI Maiden (SCOT),2008-2008,3,1,0,0,0,0,1,0,0,0,1,0,0
A Mehmood (HK),2016-2016,2,1,1,0,0,0,1,0,0,0,0,0,0
Mohammad Kashif (Neth),2010-2010,3,1,1,0,0,0,0,0,0,0,0,0,0
Mohammad Qazi (Can),2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
HJC Mol (Neth),2008-2008,4,1,0,0,0,0,1,0,0,0,1,0,0
JK Mukhiya (Nepal),2014-2015,4,1,1,0,0,0,0,0,0,0,0,0,0
T Muzarabani (ZIM),2015-2016,9,1,1,0,0,0,2,0,0,0,0,0,0
A Nel (SA),2005-2007,2,1,1,0,0,0,2,0,0,0,0,0,0
AA Noffke (AUS),2007-2008,2,1,0,0,0,0,0,0,0,0,1,0,0
MM Patel (INDIA),2011-2011,3,1,0,0,0,0,1,0,0,0,1,0,0
PDRL Perera (SL),2006-2006,2,2,2,0,0,0,0,0,0,0,0,0,0
DM Richards (WI),2009-2009,1,1,0,0,0,0,1,0,0,0,1,0,0
K Santokie (WI),2011-2014,12,1,1,0,0,0,0,0,0,0,0,0,0
A Shahzad (ENG),2010-2011,3,1,1,0,0,0,3,0,0,0,0,0,0
Shakeel Ansar (PAK),2012-2012,2,1,0,0,0,0,1,0,0,0,1,0,0
MS Sinclair (NZ),2005-2007,2,2,0,0,0,0,5,0,0,0,2,0,0
IS Sodhi (NZ),2014-2016,10,1,1,0,0,0,0,0,0,0,0,0,0
Tanveer Ahmed (HK),2016-2016,2,1,0,0,0,0,2,0,0,0,1,0,0
M Zondeki (SA),2006-2006,1,1,0,0,0,0,1,0,0,0,1,0,0
