,bat_cluster,bowl_cluster,zero,one,two,three,four,six,no_of_balls,c_zero,c_one,c_two,c_three,c_four,c_six
1,0,0,0.3581213307,0.4246575342,0.0626223092,0.0039138943,0.1135029354,0.0352250489,511,0.3581213307,0.7827788649,0.8454011741,0.8493150684,0.9628180038,0.9980430527
2,0,2,0.4149659864,0.3401360544,0.074829932,0.0136054422,0.1088435374,0.0476190476,147,0.4149659864,0.7551020408,0.8299319728,0.843537415,0.9523809524,1
3,0,3,0.4285714286,0.4285714286,0,0,0.1428571429,0,7,0.4285714286,0.8571428572,0.8571428572,0.8571428572,1.0000000001,1.0000000001
4,0,4,0.4523809524,0.4285714286,0.0238095238,0,0.0238095238,0.0714285714,42,0.4523809524,0.880952381,0.9047619048,0.9047619048,0.9285714286,1
5,0,5,0.4423076923,0.4038461538,0.0384615385,0.0192307692,0.0769230769,0.0192307692,52,0.4423076923,0.8461538461,0.8846153846,0.9038461538,0.9807692307,0.9999999999
6,0,6,0,0.5,0,0,0,0.5,4,0,0.5,0.5,0.5,0.5,1
7,0,7,0.3846153846,0.3846153846,0.0769230769,0,0.0769230769,0.0769230769,13,0.3846153846,0.7692307692,0.8461538461,0.8461538461,0.923076923,0.9999999999
8,0,8,0.4455445545,0.3531353135,0.0660066007,0.004950495,0.0891089109,0.0412541254,606,0.4455445545,0.798679868,0.8646864687,0.8696369637,0.9587458746,1
9,0,9,0.3507853403,0.4136125654,0.0785340314,0,0.1204188482,0.0366492147,191,0.3507853403,0.7643979057,0.8429319371,0.8429319371,0.9633507853,1
10,0,10,0.4307417337,0.3780160858,0.0652368186,0.000894,0.0938337802,0.0294906166,1119,0.4307417337,0.8087578195,0.8739946381,0.8748886381,0.9687224183,0.9982130349
11,0,11,0.5294117647,0.4117647059,0.0588235294,0,0,0,17,0.5294117647,0.9411764706,1,1,1,1
12,1,0,0.3128964059,0.4372093023,0.0718816068,0.0029598309,0.1196617336,0.0520084567,2365,0.3128964059,0.7501057082,0.821987315,0.8249471459,0.9446088795,0.9966173362
13,1,1,0.3333333333,0.1666666667,0.0833333333,0,0.1666666667,0.1666666667,12,0.3333333333,0.5,0.5833333333,0.5833333333,0.75,0.9166666667
14,1,2,0.2922885572,0.4825870647,0.0721393035,0.0087064677,0.0957711443,0.0472636816,804,0.2922885572,0.7748756219,0.8470149254,0.8557213931,0.9514925374,0.998756219
15,1,3,0.2962962963,0.3827160494,0.0617283951,0,0.1975308642,0.0617283951,81,0.2962962963,0.6790123457,0.7407407408,0.7407407408,0.938271605,1.0000000001
16,1,4,0.285,0.445,0.075,0,0.12,0.075,200,0.285,0.73,0.805,0.805,0.925,1
17,1,5,0.3055555556,0.4722222222,0.0555555556,0,0.1111111111,0.0555555556,36,0.3055555556,0.7777777778,0.8333333334,0.8333333334,0.9444444445,1.0000000001
18,1,6,0,0.4444444444,0.1111111111,0,0.1111111111,0.3333333333,9,0,0.4444444444,0.5555555555,0.5555555555,0.6666666666,0.9999999999
19,1,7,0.1780821918,0.5342465753,0.0684931507,0,0.1643835616,0.0273972603,73,0.1780821918,0.7123287671,0.7808219178,0.7808219178,0.9452054794,0.9726027397
20,1,8,0.3710567823,0.3813091483,0.072555205,0.0031545741,0.1348580442,0.035488959,2536,0.3710567823,0.7523659306,0.8249211356,0.8280757097,0.9629337539,0.9984227129
21,1,9,0.3547297297,0.4087837838,0.0551801802,0.0056306306,0.1261261261,0.0439189189,888,0.3547297297,0.7635135135,0.8186936937,0.8243243243,0.9504504504,0.9943693693
22,1,10,0.3503035965,0.4042503503,0.0665576833,0.0067725362,0.1261092947,0.0448388603,4282,0.3503035965,0.7545539468,0.8211116301,0.8278841663,0.953993461,0.9988323213
23,1,11,0.2654867257,0.4601769912,0.1238938053,0,0.1150442478,0.0353982301,113,0.2654867257,0.7256637169,0.8495575222,0.8495575222,0.96460177,1.0000000001
24,2,0,0.3446502058,0.4218106996,0.0637860082,0.0041152263,0.1234567901,0.0401234568,972,0.3446502058,0.7664609054,0.8302469136,0.8343621399,0.95781893,0.9979423868
25,2,1,0.4285714286,0.2857142857,0,0,0.2857142857,0,7,0.4285714286,0.7142857143,0.7142857143,0.7142857143,1,1
26,2,2,0.3404255319,0.4734042553,0.0744680851,0.0053191489,0.0718085106,0.0345744681,376,0.3404255319,0.8138297872,0.8882978723,0.8936170212,0.9654255318,0.9999999999
27,2,3,0.2857142857,0.4285714286,0.1428571429,0,0.1428571429,0,7,0.2857142857,0.7142857143,0.8571428572,0.8571428572,1.0000000001,1.0000000001
28,2,4,0.3186813187,0.4395604396,0.0769230769,0,0.0769230769,0.0879120879,91,0.3186813187,0.7582417583,0.8351648352,0.8351648352,0.9120879121,1
29,2,5,0.5,0.2,0.1,0,0.2,0,20,0.5,0.7,0.8,0.8,1,1
30,2,6,0,0.5,0.5,0,0,0,2,0,0.5,1,1,1,1
31,2,7,0.1929824561,0.5263157895,0.1052631579,0,0.1052631579,0.0526315789,57,0.1929824561,0.7192982456,0.8245614035,0.8245614035,0.9298245614,0.9824561403
32,2,8,0.3929219601,0.3702359347,0.0689655172,0.0054446461,0.1270417423,0.0326678766,1102,0.3929219601,0.7631578948,0.832123412,0.8375680581,0.9646098004,0.997277677
33,2,9,0.4153498871,0.3476297968,0.0812641084,0.0022573363,0.1173814898,0.0361173815,443,0.4153498871,0.7629796839,0.8442437923,0.8465011286,0.9638826184,0.9999999999
34,2,10,0.3710333605,0.3905614321,0.0695687551,0.0036615134,0.1204231082,0.0423108218,2458,0.3710333605,0.7615947926,0.8311635477,0.8348250611,0.9552481693,0.9975589911
35,2,11,0.3235294118,0.5588235294,0.0882352941,0,0.0294117647,0,34,0.3235294118,0.8823529412,0.9705882353,0.9705882353,1,1
36,3,0,0.3535580524,0.4284644195,0.0539325843,0.006741573,0.1123595506,0.0434456929,1335,0.3535580524,0.7820224719,0.8359550562,0.8426966292,0.9550561798,0.9985018727
37,3,1,0.2857142857,0.4285714286,0.1071428571,0,0.1071428571,0.0714285714,28,0.2857142857,0.7142857143,0.8214285714,0.8214285714,0.9285714285,0.9999999999
38,3,2,0.3503184713,0.4267515924,0.0636942675,0,0.110403397,0.0488322718,471,0.3503184713,0.7770700637,0.8407643312,0.8407643312,0.9511677282,1
39,3,3,0.2580645161,0.5483870968,0.0322580645,0,0.0967741935,0.064516129,31,0.2580645161,0.8064516129,0.8387096774,0.8387096774,0.9354838709,0.9999999999
40,3,4,0.3596491228,0.4298245614,0.0614035088,0,0.1052631579,0.0438596491,114,0.3596491228,0.7894736842,0.850877193,0.850877193,0.9561403509,1
41,3,5,0.3921568627,0.3725490196,0.0588235294,0,0.137254902,0.0392156863,51,0.3921568627,0.7647058823,0.8235294117,0.8235294117,0.9607843137,1
42,3,6,0,1,0,0,0,0,3,0,1,1,1,1,1
43,3,7,0.2222222222,0.5277777778,0.0833333333,0,0.0833333333,0.0833333333,36,0.2222222222,0.75,0.8333333333,0.8333333333,0.9166666666,0.9999999999
44,3,8,0.3953301127,0.3921095008,0.0571658615,0.0024154589,0.1038647343,0.0458937198,1242,0.3953301127,0.7874396135,0.844605475,0.8470209339,0.9508856682,0.996779388
45,3,9,0.3583535109,0.401937046,0.0581113801,0.0024213075,0.1210653753,0.0556900726,413,0.3583535109,0.7602905569,0.818401937,0.8208232445,0.9418886198,0.9975786924
46,3,10,0.3883840379,0.3970762544,0.0612406164,0.0039510075,0.1058870012,0.0403002766,2531,0.3883840379,0.7854602923,0.8467009087,0.8506519162,0.9565389174,0.996839194
47,3,11,0.3815789474,0.3421052632,0.0526315789,0,0.1447368421,0.0789473684,76,0.3815789474,0.7236842106,0.7763157895,0.7763157895,0.9210526316,1
48,4,0,0.3392980041,0.4129387474,0.0798348245,0.0048176187,0.114934618,0.0481761872,1453,0.3392980041,0.7522367515,0.832071576,0.8368891947,0.9518238127,0.9999999999
49,4,1,0.1538461538,0.4615384615,0.0769230769,0,0,0.3076923077,13,0.1538461538,0.6153846153,0.6923076922,0.6923076922,0.6923076922,0.9999999999
50,4,2,0.3251533742,0.4233128834,0.081799591,0.0163599182,0.1104294479,0.0429447853,489,0.3251533742,0.7484662576,0.8302658486,0.8466257668,0.9570552147,1
51,4,3,0.2727272727,0.5151515152,0,0,0.1515151515,0.0606060606,33,0.2727272727,0.7878787879,0.7878787879,0.7878787879,0.9393939394,1
52,4,4,0.25,0.4880952381,0.0714285714,0.0238095238,0.119047619,0.0476190476,84,0.25,0.7380952381,0.8095238095,0.8333333333,0.9523809523,0.9999999999
53,4,5,0.25,0.59375,0.15625,0,0,0,32,0.25,0.84375,1,1,1,1
54,4,6,0,0.4,0,0,0.2,0.4,5,0,0.4,0.4,0.4,0.6,1
55,4,7,0.3157894737,0.3859649123,0.1228070175,0,0.1403508772,0.0350877193,57,0.3157894737,0.701754386,0.8245614035,0.8245614035,0.9649122807,1
56,4,8,0.3307030129,0.4361549498,0.0846484935,0.0050215208,0.0982783357,0.0423242468,1394,0.3307030129,0.7668579627,0.8515064562,0.856527977,0.9548063127,0.9971305595
57,4,9,0.3561643836,0.3835616438,0.100456621,0.002283105,0.1255707763,0.0319634703,438,0.3561643836,0.7397260274,0.8401826484,0.8424657534,0.9680365297,1
58,4,10,0.3391877058,0.4244420051,0.0889132821,0.0029271862,0.1061105013,0.0369557263,2733,0.3391877058,0.7636297109,0.852542993,0.8554701792,0.9615806805,0.9985364068
59,4,11,0.3090909091,0.5090909091,0.0545454545,0,0.0727272727,0.0545454545,55,0.3090909091,0.8181818182,0.8727272727,0.8727272727,0.9454545454,0.9999999999
60,5,0,0.3365617433,0.4198547215,0.0629539952,0.002905569,0.1181598063,0.0547215496,2065,0.3365617433,0.7564164648,0.81937046,0.822276029,0.9404358353,0.9951573849
61,5,2,0.3215130024,0.438534279,0.0650118203,0.0047281324,0.1122931442,0.0555555556,846,0.3215130024,0.7600472814,0.8250591017,0.8297872341,0.9420803783,0.9976359339
62,5,3,0.425,0.375,0.075,0,0.1,0.025,40,0.425,0.8,0.875,0.875,0.975,1
63,5,4,0.3409090909,0.3863636364,0.0397727273,0.0056818182,0.1193181818,0.0965909091,176,0.3409090909,0.7272727273,0.7670454546,0.7727272728,0.8920454546,0.9886363637
64,5,5,0.380952381,0.3095238095,0.119047619,0,0.1666666667,0.0238095238,42,0.380952381,0.6904761905,0.8095238095,0.8095238095,0.9761904762,1
65,5,6,0.1851851852,0.3333333333,0.0740740741,0,0.2222222222,0.1851851852,27,0.1851851852,0.5185185185,0.5925925926,0.5925925926,0.8148148148,1
66,5,7,0.1639344262,0.4918032787,0.0655737705,0,0.1967213115,0.0819672131,61,0.1639344262,0.6557377049,0.7213114754,0.7213114754,0.9180327869,1
67,5,8,0.4068927182,0.3557531962,0.0622568093,0.0027793218,0.1234018899,0.0461367426,1799,0.4068927182,0.7626459144,0.8249027237,0.8276820455,0.9510839354,0.997220678
68,5,9,0.3995215311,0.3337320574,0.0598086124,0.0023923445,0.1447368421,0.0562200957,836,0.3995215311,0.7332535885,0.7930622009,0.7954545454,0.9401913875,0.9964114832
69,5,10,0.3678781925,0.387524558,0.0655697446,0.0039292731,0.1299115914,0.0442043222,4072,0.3678781925,0.7554027505,0.8209724951,0.8249017682,0.9548133596,0.9990176818
70,5,11,0.3088235294,0.3529411765,0.0441176471,0,0.2647058824,0.0294117647,68,0.3088235294,0.6617647059,0.705882353,0.705882353,0.9705882354,1.0000000001
71,6,0,0.3460820896,0.4169776119,0.0708955224,0.0018656716,0.1035447761,0.0578358209,1072,0.3460820896,0.7630597015,0.8339552239,0.8358208955,0.9393656716,0.9972014925
72,6,2,0.3094555874,0.4699140401,0.0716332378,0.005730659,0.0916905444,0.0487106017,349,0.3094555874,0.7793696275,0.8510028653,0.8567335243,0.9484240687,0.9971346704
73,6,3,0.4081632653,0.2244897959,0.1224489796,0,0.2244897959,0.0204081633,49,0.4081632653,0.6326530612,0.7551020408,0.7551020408,0.9795918367,1
74,6,4,0.2352941176,0.4852941176,0.0588235294,0.0147058824,0.1617647059,0.0441176471,68,0.2352941176,0.7205882352,0.7794117646,0.794117647,0.9558823529,1
75,6,5,0.4545454545,0.3333333333,0,0.0606060606,0.1212121212,0.0303030303,33,0.4545454545,0.7878787878,0.7878787878,0.8484848484,0.9696969696,0.9999999999
76,6,6,0,1,0,0,0,0,1,0,1,1,1,1,1
77,6,7,0,0.6666666667,0.2222222222,0,0.1111111111,0,9,0,0.6666666667,0.8888888889,0.8888888889,1,1
78,6,8,0.3856722277,0.3788027478,0.0716388616,0.0058881256,0.116781158,0.040235525,1019,0.3856722277,0.7644749755,0.8361138371,0.8420019627,0.9587831207,0.9990186457
79,6,9,0.3672055427,0.3856812933,0.064665127,0.0069284065,0.1339491917,0.0415704388,433,0.3672055427,0.752886836,0.817551963,0.8244803695,0.9584295612,1
80,6,10,0.3590715301,0.4050213169,0.0800568451,0.0056845097,0.1051634297,0.0416864045,2111,0.3590715301,0.764092847,0.8441496921,0.8498342018,0.9549976315,0.996684036
81,6,11,0.3333333333,0.3148148148,0.0740740741,0,0.1481481481,0.1296296296,54,0.3333333333,0.6481481481,0.7222222222,0.7222222222,0.8703703703,0.9999999999
82,7,0,0.3742640875,0.3969722456,0.0698065601,0.0067283431,0.1152228764,0.0370058873,1189,0.3742640875,0.7712363331,0.8410428932,0.8477712363,0.9629941127,1
83,7,1,0.1428571429,0.7142857143,0.1428571429,0,0,0,7,0.1428571429,0.8571428572,1.0000000001,1.0000000001,1.0000000001,1.0000000001
84,7,2,0.3739612188,0.4155124654,0.0692520776,0.0083102493,0.0886426593,0.0415512465,361,0.3739612188,0.7894736842,0.8587257618,0.8670360111,0.9556786704,0.9972299169
85,7,3,0.4137931034,0.4137931034,0.0689655172,0,0.1034482759,0,29,0.4137931034,0.8275862068,0.896551724,0.896551724,0.9999999999,0.9999999999
86,7,4,0.3835616438,0.2876712329,0.0273972603,0,0.2465753425,0.0547945205,73,0.3835616438,0.6712328767,0.698630137,0.698630137,0.9452054795,1
87,7,5,0.5322580645,0.3709677419,0.0483870968,0,0.0161290323,0.0322580645,62,0.5322580645,0.9032258064,0.9516129032,0.9516129032,0.9677419355,1
88,7,6,0,1,0,0,0,0,2,0,1,1,1,1,1
89,7,7,0.2727272727,0.4242424242,0.1212121212,0,0.0909090909,0.0909090909,33,0.2727272727,0.6969696969,0.8181818181,0.8181818181,0.909090909,0.9999999999
90,7,8,0.384244373,0.3786173633,0.0868167203,0.0032154341,0.1036977492,0.0377813505,1244,0.384244373,0.7628617363,0.8496784566,0.8528938907,0.9565916399,0.9943729904
91,7,9,0.3372781065,0.4122287968,0.0887573964,0.0098619329,0.1104536489,0.0414201183,507,0.3372781065,0.7495069033,0.8382642997,0.8481262326,0.9585798815,0.9999999998
92,7,10,0.3773333333,0.396,0.0755555556,0.0031111111,0.1146666667,0.0333333333,2250,0.3773333333,0.7733333333,0.8488888889,0.852,0.9666666667,1
93,7,11,0.3111111111,0.4,0.0444444444,0.0222222222,0.1555555556,0.0666666667,,0.3111111111,0.7111111111,0.7555555555,0.7777777777,0.9333333333,1
94,8,0,0.5396825397,0.3492063492,0.0714285714,0,0.0317460317,0,126,0.5396825397,0.8888888889,0.9603174603,0.9603174603,0.992063492,0.992063492
95,8,2,0.5454545455,0.3636363636,0.0454545455,0,0.0454545455,0,22,0.5454545455,0.9090909091,0.9545454546,0.9545454546,1.0000000001,1.0000000001
96,8,3,0.3333333333,0.6666666667,0,0,0,0,3,0.3333333333,1,1,1,1,1
97,8,5,0.4074074074,0.4814814815,0.037037037,0,0.0740740741,0,27,0.4074074074,0.8888888889,0.9259259259,0.9259259259,1,1
98,8,7,0.25,0.75,0,0,0,0,4,0.25,1,1,1,1,1
99,8,8,0.5721393035,0.3532338308,0.0547263682,0.0049751244,0.0149253731,0,201,0.5721393035,0.9253731343,0.9800995025,0.9850746269,1,1
100,8,9,0.58,0.3,0.08,0.02,0,0,50,0.58,0.88,0.96,0.98,0.98,0.98
101,8,10,0.5145631068,0.3883495146,0.0631067961,0,0.0291262136,0.0048543689,206,0.5145631068,0.9029126214,0.9660194175,0.9660194175,0.9951456311,1
102,9,0,0.3316498316,0.4225589226,0.0673400673,0.0033670034,0.1321548822,0.0387205387,1188,0.3316498316,0.7542087542,0.8215488215,0.8249158249,0.9570707071,0.9957912458
103,9,2,0.3402366864,0.4556213018,0.0355029586,0.0088757396,0.1213017751,0.0355029586,338,0.3402366864,0.7958579882,0.8313609468,0.8402366864,0.9615384615,0.9970414201
104,9,3,0.28,0.48,0,0.04,0.12,0.08,25,0.28,0.76,0.76,0.8,0.92,1
105,9,4,0.3066666667,0.5066666667,0.04,0,0.12,0.0266666667,75,0.3066666667,0.8133333334,0.8533333334,0.8533333334,0.9733333334,1.0000000001
106,9,5,0.5897435897,0.2307692308,0.0256410256,0,0.1538461538,0,39,0.5897435897,0.8205128205,0.8461538461,0.8461538461,0.9999999999,0.9999999999
107,9,6,0.2272727273,0.2727272727,0.0909090909,0,0.1818181818,0.2272727273,22,0.2272727273,0.5,0.5909090909,0.5909090909,0.7727272727,1
108,9,7,0.2264150943,0.4716981132,0.0943396226,0,0.1698113208,0.0377358491,53,0.2264150943,0.6981132075,0.7924528301,0.7924528301,0.9622641509,1
109,9,8,0.36347359,0.4010743062,0.0626678603,0.0035810206,0.1360787825,0.0331244405,1117,0.36347359,0.7645478962,0.8272157565,0.8307967771,0.9668755596,1.0000000001
110,9,9,0.3386363636,0.4045454545,0.0522727273,0.0068181818,0.1340909091,0.0590909091,440,0.3386363636,0.7431818181,0.7954545454,0.8022727272,0.9363636363,0.9954545454
111,9,10,0.3531976744,0.4195736434,0.0639534884,0.0019379845,0.1225775194,0.0358527132,2064,0.3531976744,0.7727713178,0.8367248062,0.8386627907,0.9612403101,0.9970930233
112,9,11,0.2794117647,0.5,0.0588235294,0,0.1323529412,0.0294117647,68,0.2794117647,0.7794117647,0.8382352941,0.8382352941,0.9705882353,1
113,10,0,0.3080032336,0.41956346,0.0800323363,0.0024252223,0.1438965238,0.0452708165,1237,0.3080032336,0.7275666936,0.8075990299,0.8100242522,0.953920776,0.9991915925
114,10,2,0.3147208122,0.4670050761,0.0812182741,0.0050761421,0.0964467005,0.0355329949,394,0.3147208122,0.7817258883,0.8629441624,0.8680203045,0.964467005,0.9999999999
115,10,3,0.2727272727,0.3863636364,0.0454545455,0.0227272727,0.2045454545,0.0454545455,44,0.2727272727,0.6590909091,0.7045454546,0.7272727273,0.9318181818,0.9772727273
116,10,4,0.3157894737,0.5087719298,0.0526315789,0,0.0701754386,0.0350877193,114,0.3157894737,0.8245614035,0.8771929824,0.8771929824,0.947368421,0.9824561403
117,10,5,0.4137931034,0.3103448276,0.1034482759,0,0.1379310345,0.0344827586,29,0.4137931034,0.724137931,0.8275862069,0.8275862069,0.9655172414,1
118,10,7,0.1489361702,0.5531914894,0.085106383,0,0.1914893617,0.0212765957,47,0.1489361702,0.7021276596,0.7872340426,0.7872340426,0.9787234043,1
119,10,8,0.3649484536,0.4030927835,0.0628865979,0.0082474227,0.118556701,0.0422680412,970,0.3649484536,0.7680412371,0.830927835,0.8391752577,0.9577319587,0.9999999999
120,10,9,0.3279569892,0.4086021505,0.0860215054,0.002688172,0.1397849462,0.0349462366,372,0.3279569892,0.7365591397,0.8225806451,0.8252688171,0.9650537633,0.9999999999
121,10,10,0.3270079435,0.4307149162,0.0719329214,0.0052956752,0.1231244484,0.0392762577,2266,0.3270079435,0.7577228597,0.8296557811,0.8349514563,0.9580759047,0.9973521624
122,10,11,0.1379310345,0.5517241379,0.0689655172,0,0.2068965517,0.0344827586,29,0.1379310345,0.6896551724,0.7586206896,0.7586206896,0.9655172413,0.9999999999
123,11,0,0.3523054755,0.4380403458,0.0641210375,0.0028818444,0.0958213256,0.0446685879,1388,0.3523054755,0.7903458213,0.8544668588,0.8573487032,0.9531700288,0.9978386167
124,11,1,0,0.4,0.2,0,0.2,0.2,5,0,0.4,0.6,0.6,0.8,1
125,11,2,0.3210161663,0.4919168591,0.064665127,0.0023094688,0.0808314088,0.03926097,433,0.3210161663,0.8129330254,0.8775981524,0.8799076212,0.96073903,1
126,11,3,0.2608695652,0.5217391304,0.0217391304,0,0.1739130435,0.0217391304,46,0.2608695652,0.7826086956,0.804347826,0.804347826,0.9782608695,0.9999999999
127,11,4,0.3052631579,0.4631578947,0.0947368421,0,0.0736842105,0.0631578947,95,0.3052631579,0.7684210526,0.8631578947,0.8631578947,0.9368421052,0.9999999999
128,11,5,0.4565217391,0.4782608696,0.0217391304,0,0.0434782609,0,46,0.4565217391,0.9347826087,0.9565217391,0.9565217391,1,1
129,11,6,0,1,0,0,0,0,1,0,1,1,1,1,1
130,11,7,0.3090909091,0.4909090909,0.1272727273,0.0181818182,0.0545454545,0,55,0.3090909091,0.8,0.9272727273,0.9454545455,1,1
131,11,8,0.3794117647,0.4058823529,0.0676470588,0.0029411765,0.0970588235,0.0447058824,1700,0.3794117647,0.7852941176,0.8529411764,0.8558823529,0.9529411764,0.9976470588
132,11,9,0.3572815534,0.4038834951,0.0776699029,0.0077669903,0.1087378641,0.0446601942,515,0.3572815534,0.7611650485,0.8388349514,0.8466019417,0.9553398058,1
133,11,10,0.3579693916,0.4214259052,0.0709219858,0.0033594625,0.1000373274,0.0421799179,2679,0.3579693916,0.7793952968,0.8503172826,0.8536767451,0.9537140725,0.9958939904
134,11,11,0.3157894737,0.3947368421,0.1052631579,0,0.1315789474,0.0526315789,38,0.3157894737,0.7105263158,0.8157894737,0.8157894737,0.9473684211,1
